statut_amm,statut_commercialisation,specialite,dosage,forme,presentation,pp_gn,substance_active,classe_therapeutique,epi,ppv,ph,pfht,code,tva
AMM RETIREE,Retiré du Marché,ATRICAN,250  MG,CAPSULE MOLLE,BOITE DE 8,PP,TENONITROZOLE,GYNECOLOGIE,MAPHAR,"34,5","21,5","19,21",2716,
AMM ENREGISTREE,Commercialisé,AVLOCARDYL,40  MG,COMPRIME SECABLE,BOITE DE 50,PP,PROPRANOLOL (CHLORHYDRATE),CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,"41,8","26,2","24,9107",2717,
AMM RETIREE,Retiré du Marché,AVLOCARDYL,5  MG  /  5  ML,SOLUTION INJECTABLE,BOITE DE 5 FLACONS DE 5 ML,PP,PROPRANOLOL (CHLORHYDRATE),CARDIOLOGIE ET ANGEIOLOGIE,MAPHAR,"21,6","13,5","12,8571",2718,
AMM RETIREE,Retiré du Marché,AVLOCARDYL LP,160  MG,GELULE A LIBERATION PROLONGEE,BOITE DE 30,PP,PROPRANOLOL (CHLORHYDRATE),CARDIOLOGIE ET ANGEIOLOGIE,MAPHAR,"88,2","55,1","52,4816",2719,
AMM RETIREE,Retiré du Marché,BARACLUDE,"0,5  MG",COMPRIME,BOITE DE 30,PP,ENTECAVIR,GASTRO-ENTEROLOGIE,MAPHAR,5266,5009,"4770,9631",2720,
AMM RETIREE,Retiré du Marché,BARACLUDE,1  MG,COMPRIME,BOITE DE 30,PP,ENTECAVIR,GASTRO-ENTEROLOGIE,MAPHAR,5357,5102,"4859,8095",2721,
AMM RETIREE,Retiré du Marché,BARALGIN M,1 G,SUPPOSITOIRE,BOITE DE 5,PP,METAMIZOLE (SODIQUE),ANTALGIQUES,MAPHAR,"11,6","7,2","6,453",2722,
AMM ENREGISTREE,Commercialisé,BEDELIX,3 G,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 30,PP,MONTMORILLONITE BEIDELLITIQUE,GASTRO-ENTERO-HEPATOLOGIE,MAPHAR,"53,9","33,7","32,0984",2723,
AMM ENREGISTREE,Commercialisé,BETASERC,24  MG,COMPRIME,BOITE DE 30,PP,BETAHISTINE (DICHLORHYDRATE),NEUROLOGIE - PSYCHIATRIE,MAPHAR,"72,9","45,5","43,3912",2724,
AMM RETIREE,Retiré du Marché,BICNU,100  MG,LYOPHILISAT ET SOLUTION POUR PREPARATION INJECTABLE,BOITE DE 1 FLACON ET 1 AMP,PP,CARMUSTINE,CANCEROLOGIE-HEMATOLOGIE,MAPHAR,505,336,"320,1066",2725,
AMM RETIREE,Retiré du Marché,BIPERIDYS,20  MG,COMPRIME PELLICULE,BOITE DE 20,PP,DOMPERIDONE,GASTRO-ENTEROLOGIE,MAPHAR,39,"24,3","21,6956",2726,
AMM RETIREE,Retiré du Marché,BIPERIDYS,20  MG,COMPRIME PELLICULE,BOITE DE 40,PP,DOMPERIDONE,GASTRO-ENTEROLOGIE,MAPHAR,66,"41,1","36,7156",2727,
AMM ENREGISTREE,Commercialisé,BLEU LAITER,"0,020 G  /  0,05 G",COLLYRE,BOITE DE 1 FLACON DE 10ML,PP,METHYLTHIONIMIUM HYDROXYDE         // NAPHAZOLINE NITRATE,OPHTALMOLOGIE,MAPHAR,"17,3","10,8","10,2915",2728,
AMM ENREGISTREE,Commercialisé,BRILIQUE,90  MG,COMPRIME PELLICULE,BOITE DE 60,PP,TICAGRELOR,CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,918,636,"606,44",2729,
AMM ENREGISTREE,Commercialisé,BRINTELLIX,10  MG,COMPRIME PELLICULE,BOITE DE 28,PP,VORTIOXETINE,NEUROLOGIE - PSYCHIATRIE,MAPHAR,295,"196,3",187,2730,
AMM ENREGISTREE,Commercialisé,BRINTELLIX,5  MG,COMPRIME PELLICULE,BOITE DE 28,PP,VORTIOXETINE,NEUROLOGIE - PSYCHIATRIE,MAPHAR,204,"127,6","121,52",2731,
AMM ENREGISTREE,Non Commercialisé,CAELYX,2  MG  /   ML,SOLUTION POUR PERFUSION,BOITE DE 1 FLACON DE 10ML,PP,DOXORUBICINE (CHLORHYDRATE),CANCEROLOGIE - HEMATOLOGIE,MAPHAR,3907,3610,"3438,9524",2732,
AMM ENREGISTREE,Non Commercialisé,CAELYX,2  MG  /   ML,SOLUTION POUR PERFUSION,BOITE DE 1 FLACON DE 25 ML,PP,DOXORUBICINE (CHLORHYDRATE),CANCEROLOGIE - HEMATOLOGIE,MAPHAR,7853,7673,"7307,7143",2733,
AMM ENREGISTREE,Commercialisé,CASODEX,50  MG,COMPRIME ENROBE,BOITE DE 30,PP,BICALUTAMIDE,UROLOGIE - NEPHROLOGIE,MAPHAR,610,405,"386,08",2734,
AMM ENREGISTREE,Commercialisé,CLARELUX,500 µg  /  G,MOUSSE POUR APPLICATION CUTANEE,BOITE DE 1 FLACON DE 100G,PP,CLOBETASOL (PROPIONATE),DERMATOLOGIE - VENEROLOGIE,MAPHAR,"154,3","96,4","91,8638",2735,
AMM ENREGISTREE,Commercialisé,CLIMASTON,1  MG  /  10  MG,COMPRIME PELLICULE,BOITE DE 28,PP,ESTRADIOL // DYDROGESTERONE,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,86,"53,7","51,1794",2736,
AMM ENREGISTREE,Commercialisé,CLIMASTON,1  MG  /  5  MG,COMPRIME PELLICULE,BOITE DE 28,PP,ESTRADIOL // DYDROGESTERONE,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,86,"53,7","51,1794",2737,
AMM ENREGISTREE,Commercialisé,CLIMASTON,2  MG  /  10  MG,COMPRIME PELLICULE,BOITE DE 28,PP,ESTRADIOL // DYDROGESTERONE,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,86,"53,7","51,1794",2738,
AMM ENREGISTREE,Non Commercialisé,CLOPIDOGREL WIN,75  MG,COMPRIME PELLICULE,BOITE DE 14,GN,CLOPIDOGREL,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,183,"114,3","108,91",2739,
AMM ENREGISTREE,Non Commercialisé,CLOPIDOGREL WIN,75  MG,COMPRIME PELLICULE,BOITE DE 28,GN,CLOPIDOGREL,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,316,210,"200,46",2740,
AMM ENREGISTREE,Non Commercialisé,CO-IRBEWIN,"150  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 14,GN,IRBESARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,"69,5","43,4","41,39",2741,
AMM ENREGISTREE,Non Commercialisé,CO-IRBEWIN,"150  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 28,GN,IRBESARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,"134,3","83,9","79,96",2742,
AMM ENREGISTREE,Non Commercialisé,CO-IRBEWIN,"300  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 14,GN,IRBESARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,110,"68,7","65,4762",2743,
AMM ENREGISTREE,Non Commercialisé,CO-IRBEWIN,"300  MG  /  12,5  MG",COMPRIME PELLICULE,BOITE DE 28,GN,IRBESARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,198,"123,7","117,8571",2744,
AMM ENREGISTREE,Non Commercialisé,COLPOSEPTINE,200  MG  /  10  MG,COMPRIME VAGINAL,BOITE DE 18,PP,CHLORQUINALDOL // PROMESTRIENE,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,"44,1","27,6","26,2572",2745,
AMM ENREGISTREE,Non Commercialisé,COLPOTROPHINE,"0,01",CREME,TUBE DE 15 G,PP,PROMESTRIENE,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,36,"22,5","21,43",2746,
AMM ENREGISTREE,Commercialisé,COLPOTROPHINE,10  MG,CAPSULE VAGINALE,BOITE DE 10,PP,PROMESTRIENE,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,"31,6","19,7","18,8028",2747,
AMM ENREGISTREE,Commercialisé,COLPOTROPHINE,10  MG,CAPSULE VAGINALE,BOITE DE 20,PP,PROMESTRIENE,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,"59,4","37,1","35,3908",2748,
AMM ENREGISTREE,Commercialisé,COLPRONE,5  MG,COMPRIME,BOITE DE 20,PP,MEDROGESTONE,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,"52,2","32,6","31,0794",2749,
AMM ENREGISTREE,Commercialisé,CONTALAX,5  MG,COMPRIME GASTRO-RESISTANT,BOITE DE 30,PP,BISACODYL,GASTRO-ENTERO-HEPATOLOGIE,MAPHAR,"11,5","7,2","6,8703",2750,
AMM ENREGISTREE,Non Commercialisé,COTEVETEN,"600  MG  /  12,5  MG",COMPRIME PELLICULE,Boite de 28,PP,EPROSARTAN // HYDDOCHLORTHIAZIDE,CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,231,"144,4","137,52",2751,
AMM ENREGISTREE,Commercialisé,CRESTOR,10  MG,COMPRIME PELLICULE,BOITE DE 30,PP,ROSUVASTATINE,CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,167,"104,4","99,42",2752,
AMM ENREGISTREE,Commercialisé,CRESTOR,20  MG,COMPRIME PELLICULE,BOITE DE 30,PP,ROSUVASTATINE,CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,250,"156,4","148,98",2753,
AMM ENREGISTREE,Commercialisé,CRESTOR,5  MG,COMPRIME PELLICULE,BOITE DE 30,PP,ROSUVASTATINE,CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,"114,1","71,3","67,92",2754,
AMM ENREGISTREE,Commercialisé,CURACNE,10  MG,CAPSULE MOLLE,BOITE DE 30,GN,ISOTRETINOINE,DERMATOLOGIE - VENEROLOGIE,MAPHAR,"142,3","88,9","84,7",2755,
AMM ENREGISTREE,Commercialisé,CURACNE,20  MG,CAPSULE MOLLE,BOITE DE 30,GN,ISOTRETINOINE,DERMATOLOGIE - VENEROLOGIE,MAPHAR,270,"169,1","161,04",2756,
AMM ENREGISTREE,Commercialisé,CURACNE,40  MG,CAPSULE MOLLE,BOITE DE 30,GN,ISOTRETINOINE,DERMATOLOGIE - VENEROLOGIE,MAPHAR,483,321,"306,1682",2757,
AMM ENREGISTREE,Commercialisé,CURACNE,5  MG,CAPSULE MOLLE,BOITE DE 30,GN,ISOTRETINOINE,DERMATOLOGIE - VENEROLOGIE,MAPHAR,"114,9","71,8","68,4246",2758,
AMM ENREGISTREE,Non Commercialisé,CUTISAN,"0,01",POUDRE DERMIQUE,BOITE DE 120G,PP,TRICLOCARBAN,OTO-RHINO-LARYNGOLOGIE,MAPHAR,14,"8,7","8,3445",2759,
AMM ENREGISTREE,Non Commercialisé,CYCLO 3,"1,6 G  /  2 G",CREME,TUBE DE 40 G,PP,EXTRAIT SEC DE RUSCUS ACULEATUS // EXTRAIT FLUIDE DE MELILOT,CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,"21,4","13,4","12,7392",2760,
AMM ENREGISTREE,Commercialisé,CYCLO 3 FORT,150  MG  /  150  MG  /  100  MG,GELULE,BOITE DE 30,PP,EXTRAIT DE RUSCUS ACULEATUS // HESPERIDINE METHYLCHALCONE // ACIDE ASCORBIQUE,GASTRO-ENTERO-HEPATOLOGIE,MAPHAR,"69,9","43,7","41,611",2761,
AMM ENREGISTREE,Non Commercialisé,DAILY GE,"0,05  MG  /  0,03  MG ET 0,075  MG  /  0,04  MG ET 0,125  MG  /  0,03  MG",COMPRIME ENROBE,"3 * (BOITE DE 6 ROSES, 5 BLANCS, 10 JAUNES)",GN,LEVONORGESTREL // ETHINYLESTRADIOL,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,51,"31,9","30,3738",2762,
AMM ENREGISTREE,Commercialisé,DAILY GE,"0,05  MG  /  0,03  MG ET 0,075  MG  /  0,04  MG ET 0,125  MG  /  0,03  MG",COMPRIME ENROBE,"BOITE DE 6 ROSES, 5 BLANCS, 10 JAUNES",GN,LEVONORGESTREL // ETHINYLESTRADIOL,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,20,"12,5","11,9048",2763,
AMM ENREGISTREE,Commercialisé,DAKTARIN,"0,02",GEL BUCCAL,BOITE DE 1 TUBE DE 40 G,PP,MICONAZOLE,STOMATOLOGIE,MAPHAR,"49,5","30,9","29,461",2764,
AMM ENREGISTREE,Non Commercialisé,DANATROL,200  MG,GELULE,BOITE DE 40,PP,DANAZOL,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,421,280,"266,8",2765,
AMM ENREGISTREE,Commercialisé,DECAPEPTYL,"0,1  MG",SOLUTION INJECTABLE,BOITE DE 7 FLACON + AMPOULES,PP,TRIPTORELINE,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,399,265,"252,68",2766,
AMM ENREGISTREE,Commercialisé,DECAPEPTYL LP,"11,25  MG",SOLUTE INJECTABLE IM,BOITE DE 1 POUDRE+ SOLVANT,PP,TRIPTORELINE,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,3037,2714,"2585,3",2767,
AMM ENREGISTREE,Commercialisé,DECAPEPTYL LP,"22,5  MG",SUSPENSION INJECTABLE A LIBERATION PROLONGEE,BOITE DE 1 FLACON DE POUDRE+ SOLVANT,PP,TRIPTORELINE,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,5858,5619,"5351,63",2768,
AMM ENREGISTREE,Commercialisé,DECAPEPTYL LP,"3,75  MG",SOLUTE INJECTABLE IM,BOITE DE 1 POUDRE+ SOLVANT,PP,TRIPTORELINE,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,1377,1109,"1056,44",2769,
AMM ENREGISTREE,Commercialisé,DIAMOX,250  MG,COMPRIME SECABLE,BOITE DE 24,PP,ACETAZOLAMIDE,Ophtalmologie,MAPHAR,"17,7","11,1","10,5696",2770,
AMM ENREGISTREE,Commercialisé,DICETEL,100  MG,COMPRIME PELLICULE,BOITE DE 30,PP,BROMURE DE PINAVERIUM,GASTRO-ENTERO-HEPATOLOGIE,MAPHAR,"114,3","71,4","68,05",2771,
AMM RETIREE,Retiré du Marché,DIOVENOR,300  MG,COMPRIME PELLICULE,BOITE DE 15,PP,DIOSMINE,GASTRO-ENTEROLOGIE,MAPHAR,"35,6","22,2","19,8042",2772,
AMM ENREGISTREE,Commercialisé,DIOVENOR,600  MG,COMPRIME PELLICULE,BOITE DE 30,PP,DIOSMINE,CARDIOLOGIE - ANGEIOLOGIE,MAPHAR,"124,8",78,"74,3213",2773,
AMM ENREGISTREE,Commercialisé,DIPRIVAN,200  MG  /  20  ML,EMULSION INJECTABLE EN IV,BOITE DE 5 AMPOULES DE 20 ML,PP,PROPOFOL,ANESTHESIE - REANIMATION,MAPHAR,275,"183,2","174,5",2774,
AMM ENREGISTREE,Non Commercialisé,DIPRIVAN,500  MG  /  50  ML,EMULSION INJECTABLE EN IV,BOITE DE 1 SERINGUE PREREMPLIE DE 50ML,PP,PROPOFOL,ANESTHESIE - REANIMATION,MAPHAR,271,"169,4","161,3062",2775,
AMM ENREGISTREE,Non Commercialisé,DITROPAN,5  MG,COMPRIME SECABLE,BOITE DE 60,PP,OXYBUTYNINE (CHLORHYDRATE),UROLOGIE - NEPHROLOGIE,MAPHAR,"66,3","41,3","36,8858",2776,
AMM ENREGISTREE,Non Commercialisé,DOCEWIN,"20  MG  /  0,5  ML",SOLUTION A DILUER POUR PERFUSION,"BOITE DE 1 SOLUTION : FLACON / 0,5 ML SOLVANT : FLACON / 1,5 ML",GN,DOCETAXEL,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,800,532,"506,709",2777,
AMM ENREGISTREE,Non Commercialisé,DOCEWIN,80  MG  /  2  ML,SOLUTION A DILUER POUR PERFUSION,BOITE DE 1 SOLUTION : FLACON / 2 ML SOLVANT : FLACON / 6 ML,GN,DOCETAXEL,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,2467,2128,"2026,6667",2778,
AMM RETIREE,Retiré du Marché,DOPAMINE PIERRE FABRE,200  MG  /  5  ML,SOLUTION INJECTABLE POUR PERFUSION,BOITE DE 20 AMPOULES DE 5 ML,NA,DOPAMINE,CARDIOLOGIE ET ANGEIOLOGIE,MAPHAR,733,487,"464,31",2779,
AMM RETIREE,Retiré du Marché,DOPAMINE PIERRE FABRE,50  MG  /  10  ML,SOLUTION INJECTABLE IV,BOITE DE 50 AMPOULE DE 10ML,NA,DOPAMINE,CARDIOLOGIE ET ANGEIOLOGIE,MAPHAR,519,344,"328,482",2780,
AMM SUSPENDUE,Suspendu du Marché,DOTAREM,"0,5 MMOL  /   ML",SOLUTION INJECTABLE,BOITE DE 1 FLACON DE 10 ML,PP,ACIDE GADOTERIQUE,DIAGNOSTIC  - IMAGERIE,MAPHAR,535,355,"338,6557",2781,
AMM ENREGISTREE,Non Commercialisé,DOTAREM,"0,5 MMOL  /   ML",SOLUTION INJECTABLE,BOITE DE 1 FLACON DE 15 ML,PP,ACIDE GADOTERIQUE,DIAGNOSTIC  - IMAGERIE,MAPHAR,781,519,"494,7578",2782,
AMM ENREGISTREE,Commercialisé / AO,DOTAREM,"0,5 MMOL  /   ML",SOLUTION INJECTABLE,BOITE DE 1 FLACON DE 20 ML,PP,ACIDE GADOTERIQUE,DIAGNOSTIC  - IMAGERIE,MAPHAR,979,699,"666,5355",2783,
AMM ENREGISTREE,Commercialisé,DUPHALAC,"0,665",SOLUTION BUVABLE,BOITE DE 1 FLACON DE 200 ML,PP,LACTULOSE,GASTRO-ENTERO-HEPATOLOGIE,MAPHAR,"42,4","26,5","25,2492",2784,
AMM ENREGISTREE,Commercialisé,DUPHALAC,10 G  /  15  ML,SOLUTION BUVABLE,BOITE DE 20 SACHETS-DOSE,PP,LACTULOSE,GASTRO-ENTERO-HEPATOLOGIE,MAPHAR,"66,7","41,7","39,7196",2785,
AMM ENREGISTREE,Commercialisé,DUPHASTON,10  MG,COMPRIME PELLICULE,BOITE DE 10,PP,DYDROGESTERONE,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,"44,6","27,9","26,5632",2786,
AMM ENREGISTREE,Commercialisé,DUPHASTON,10  MG,COMPRIME PELLICULE,BOITE DE 20,PP,DYDROGESTERONE,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,"84,9","53,1","50,5396",2787,
AMM ENREGISTREE,Non Commercialisé,DUROGESIC,100 µG  /  H,DISPOSITIF TRANSDERMIQUE,BOITE DE 5 SACHETS,PP,FENTANYL,ANESTHESIE - REANIMATION,MAPHAR,786,522,"498,0881",2788,
AMM RETIREE,Retiré du Marché,DUROGESIC,12 µG  /  H,DISPOSITIF EMULSION DERMIQUE,BOITE DE 5 SACHETS,PP,FENTANYL,ANTALGIQUES,MAPHAR,"167,5","104,4","93,1781",2789,
AMM ENREGISTREE,Commercialisé,DUROGESIC,25 µG  /  H,DISPOSITIF TRANSDERMIQUE,BOITE DE 5 SACHETS,PP,FENTANYL,ANESTHESIE - REANIMATION,MAPHAR,252,"157,7","150,1753",2790,
AMM ENREGISTREE,Commercialisé,DUROGESIC,50 µG  /  H,DISPOSITIF TRANSDERMIQUE,BOITE DE 5 SACHETS,PP,FENTANYL,ANESTHESIE - REANIMATION,MAPHAR,429,285,"271,9762",2791,
AMM ENREGISTREE,Non Commercialisé,DUROGESIC,75 µG  /  H,DISPOSITIF TRANSDERMIQUE,BOITE DE 5 SACHETS,PP,FENTANYL,ANESTHESIE - REANIMATION,MAPHAR,627,417,"397,3056",2792,
AMM ENREGISTREE,Commercialisé,DUSPATALIN,200  MG,GELULE,BOITE DE 20,PP,MEBEVERINE (CHLORHYDRATE),GASTRO-ENTERO-HEPATOLOGIE,MAPHAR,"50,5","31,6","30,0679",2793,
AMM ENREGISTREE,Commercialisé,DYSPORT,500 UNITES SPEYWOOD,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 1 FLACON DE 3 ML,PP,CLOSTRIDIUM BOTULINUM TYPE A,NEUROLOGIE - PSYCHIATRIE,MAPHAR,2812,2482,"2364,7475",2794,
AMM ENREGISTREE,Non Commercialisé,DYSPORT,500 UNITES SPEYWOOD,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 2 FLACON DE 3 ML,PP,CLOSTRIDIUM BOTULINUM TYPE A,NEUROLOGIE - PSYCHIATRIE,MAPHAR,3741,3439,"3275,9305",2795,
AMM ENREGISTREE,Commercialisé,EBIXA,10  MG,COMPRIME PELLICULE,BOITE DE 28,PP,MEMANTINE,NEUROLOGIE - PSYCHIATRIE,MAPHAR,215,135,"128,54",2796,
AMM ENREGISTREE,Commercialisé,EBIXA,20  MG,COMPRIME PELLICULE,BOITE DE 28,PP,MEMANTINE,NEUROLOGIE - PSYCHIATRIE,MAPHAR,347,230,"219,63",2797,
AMM ENREGISTREE,Non Commercialisé,ECLARAN,10 G,GEL POUR APPLICATION CUTANEE,BOITE DE 1 TUBE DE 45 G,PP,PEROXYDE DE BENZOYLE,DERMATOLOGIE - VENEROLOGIE,MAPHAR,"29,4","18,4","17,4955",2798,
AMM ENREGISTREE,Non Commercialisé,ECLARAN,5 G,GEL POUR APPLICATION CUTANEE,BOITE DE 1 TUBE DE 45 G,PP,PEROXYDE DE BENZOYLE,DERMATOLOGIE - VENEROLOGIE,MAPHAR,"29,4","18,4","17,4955",2799,
AMM ENREGISTREE,Commercialisé,ELLAONE,30  MG,COMPRIME,BOITE DE 1,PP,ULIPRISTAL ACETATE,GYNECOLOGIE - OBSTETRIQUE,SOTHEMA,"135,5","84,7","80,66",2800,
AMM RETIREE,Retiré du Marché,ELUDRIL,"0,05 G  /  0,015 G",COLLUTOIRE,BOITE DE 1 FLACON DE 55 ML,NA,CHLORHEXIDINE (DIGLUCONATE) // TETRACAINE (CHLORHYDRATE),STOMATOLOGIE,MAPHAR,"22,7","14,1","12,6279",2801,
AMM ENREGISTREE,Commercialisé,ELUDRIL,"0,5  ML  /  0,5 G",SOLUTION POUR BAIN DE BOUCHE,BOITE DE 1 FLACON DE 90 ML,PP,CHLORHEXIDINE // CHLOROBUTANOL,STOMATOLOGIE,MAPHAR,"16,6","10,4","9,8743",2802,
AMM ENREGISTREE,Non Commercialisé,EPITOMAX,100  MG,COMPRIME PELLICULE,BOITE DE 28,PP,TOPIRAMATE,NEUROLOGIE - PSYCHIATRIE,MAPHAR,318,211,"201,6808",2803,
AMM ENREGISTREE,Non Commercialisé,EPITOMAX,15  MG,GELULE,BOITE DE 28,PP,TOPIRAMATE,NEUROLOGIE - PSYCHIATRIE,MAPHAR,93,"58,1","55,3945",2804,
AMM ENREGISTREE,Non Commercialisé,EPITOMAX,200  MG,COMPRIME PELLICULE,BOITE DE 28,PP,TOPIRAMATE,NEUROLOGIE - PSYCHIATRIE,MAPHAR,788,523,"498,9203",2805,
AMM ENREGISTREE,Non Commercialisé,EPITOMAX,25  MG,GELULE,BOITE DE 28,PP,TOPIRAMATE,NEUROLOGIE - PSYCHIATRIE,MAPHAR,"101,2","63,2","60,2283",2806,
AMM ENREGISTREE,Non Commercialisé,EPITOMAX,50  MG,COMPRIME PELLICULE,BOITE DE 28,PP,TOPIRAMATE,NEUROLOGIE - PSYCHIATRIE,MAPHAR,"161,2","100,7","95,9451",2807,
AMM ENREGISTREE,Non Commercialisé,EPITOMAX,50  MG,GELULE,BOITE DE 28,PP,TOPIRAMATE,NEUROLOGIE - PSYCHIATRIE,MAPHAR,"170,8","106,7","101,6556",2808,
AMM ENREGISTREE,Commercialisé,EPREX,10000 UI  /   ML,SOLUTION INJECTABLE,"BOITE DE 6 SERINGUES PREREMPLIE DE 0,3 ML",PP,EPOETINE ALFA,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,1383,1115,"1062,32",2809,
AMM ENREGISTREE,Commercialisé,EPREX,10000 UI  /   ML,SOLUTION INJECTABLE,"BOITE DE 6 SERINGUES PREREMPLIE DE 0,4 ML",PP,EPOETINE ALFA,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,1710,1452,"1383,06",2810,
AMM ENREGISTREE,Non Commercialisé,EPREX,10000 UI  /   ML,SOLUTION INJECTABLE,BOITE DE 6 SERINGUES PREREMPLIE DE 1 ML,PP,EPOETINE ALFA,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,5064,4802,"4573,5243",2811,
AMM ENREGISTREE,Commercialisé,EPREX,2000 UI  /   ML,SOLUTION INJECTABLE,"BOITE DE 6 SERINGUES PREREMPLIE DE 0,5 ML",PP,EPOETINE ALFA,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,767,509,"485,6888",2812,
AMM ENREGISTREE,Commercialisé,EPREX,4000 UI  /   ML,SOLUTION INJECTABLE,"BOITE DE 6 SERINGUES PREREMPLIE DE 0,5 ML",PP,EPOETINE ALFA,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,1011,732,"697,89",2813,
AMM RETIREE,Retiré du Marché,EQUANIL,400  MG  /  5  ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES DE 5 ML,PP,MEPROBAMATE,NEUROLOGIE-PSYCHIATRIE,MAPHAR,54,"33,7","30,0679",2814,
AMM ENREGISTREE,Commercialisé,ERYFLUID,"0,04",SOLUTION,BOITE DE 1 FLACON DE 100 ML,PP,ERYTHROMYCINE,DERMATOLOGIE - VENEROLOGIE,MAPHAR,"62,8","39,2","37,3626",2815,
AMM ENREGISTREE,Non Commercialisé,ERYTHROCINE,500  MG  /  5  ML,GRANULE POUR SUSPENSION BUVABLE,BOITE DE 1 FLACON DE 60 ML,PP,ERYTHROMYCINE (ETHYLSUCCINATE),INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,MAPHAR,"39,8","24,8","23,6704",2816,
AMM ENREGISTREE,Non Commercialisé,ERYTHROCINE,500  MG,POUDRE ORALE,BOITE DE 12 SACHETS,PP,ERYTHROMYCINE (ETHYLSUCCINATE),INFECTIOLOGIE - PARASITOLOGIE - IMMUNOLOGIE,MAPHAR,"44,5","27,8","26,4792",2817,
AMM RETIREE,Retiré du Marché,ESTRAPATCH,40 µG  /  24 HEURES,DISPOSITIF TRANSDERMIQUE (PATCH) EN SACHET,BOITE DE 4 SACHETS,PP,ESTRADIOL,DERMATOLOGIE,MAPHAR,"95,5","59,5","53,1264",2818,
AMM RETIREE,Retiré du Marché,ESTRAPATCH,60 µG  /  24 HEURES,DISPOSITIF TRANSDERMIQUE (PATCH) EN SACHET,BOITE DE 4 SACHETS,PP,ESTRADIOL,DERMATOLOGIE,MAPHAR,"95,5","59,5","53,1264",2819,
AMM RETIREE,Retiré du Marché,ESTRAPATCH,80 µG  /  24 HEURES,DISPOSITIF TRANSDERMIQUE (PATCH) EN SACHET,BOITE DE 4 SACHETS,PP,ESTRADIOL,DERMATOLOGIE,MAPHAR,"95,5","59,5","53,1264",2820,
AMM ENREGISTREE,Non Commercialisé,ESTREVA,"0,001",GEL,BOITE DE 1 TUBE DE 50 G,PP,ESTRADIOL,GYNECOLOGIE - OBSTETRIQUE,MAPHAR,"56,9","35,6","33,8829",2821,
AMM ENREGISTREE,Commercialisé,EUCALYPTINE LE BRUN,"0,02135 G  /  0,12200 G",SIROP,BOITE D'UN FLACON DE 125 ML,PP,CINEOLE // CODEINE,PNEUMO-ALLERGO-PHTYSIOLOGIE,MAPHAR,18,"11,2","10,7087",2822,
AMM ENREGISTREE,Commercialisé,FASLODEX,250  MG,SOLUTION INJECTABLE (IM),BOITE DE 2 SERINGUES PRE REMPLIES de 5 ML,PP,FULVESTRANT,CANCEROLOGIE - HEMATOLOGIE,MAPHAR,3732,3430,"3266,67",2823,
